id,text,target
23101,"Heartbreaking news out of Sydney as a devastating fire engulfs a residential building, leaving many families displaced and searching for loved ones. #SydneyFire",1
23102,"@NYCMayor, urgent action needed to prevent more building collapses. Implement stricter safety measures now! #SafetyFirst",1
23104,"#breaking #disaster Massive earthquake hits Nepal, leaving extensive destruction and loss. Praying for all those affected. #NepalEarthquake",1
23105,"BREAKING: Massive earthquake hits Tokyo, leaving widespread destruction and chaos in its wake. Stay tuned for updates. #TokyoEarthquake",1
23106,"#BREAKING: Earthquake causes massive destruction in Nepal. Urgent need for rescue and aid efforts. Stay tuned. #NepalEarthquake #DisasterResponse",1
23107,"Confirmed oil spill wreaking havoc on wildlife & ecology in the Great Barrier Reef. Devastating impact on marine life and ecosystems unfolding. #DisasterUnfolds",1
23108,"Update: Devastating aftermath of the earthquake in Haiti, rescue efforts underway as buildings collapse and chaos ensues. #HaitiEarthquake",1
23109,"#BreakingNews: Severe flooding hits Mumbai, leaving streets submerged and residents stranded. Rescue efforts underway. #MumbaiFloods",1
23111,"BREAKING: Devastating news as wildfires ravage the Amazon rainforest, destroying precious ecosystems and endangering wildlife. #AmazonFires🔥🌿",1
23112,"#earthquake #Japan #naturaldisaster  : Devastating earthquake shakes Japan's coast, causing widespread destruction and loss of life. #PrayforJapan",1
23114,"Tragic scenes as floods sweep through parts of Europe, leaving behind destruction and devastation in their wake. Stay safe and informed! #EuropeFloods",1
23115,"Breaking: Devastating floods in Mumbai have left many homeless and in urgent need of aid. Rescue efforts are underway to help those affected. #MumbaiFloods",1
23116,"Heartbreaking scenes in coastal town of Tacloban as survivors struggle to rebuild after devastating typhoon strikes. #PrayForTacloban #TyphoonRelief",1
23117,"The devastation in Beirut is devastating. The explosion was catastrophic and the aftermath is heart-wrenching. Our thoughts are with the people of Lebanon. #BeirutExplosion",1
23118,"#BreakingNews: Massive earthquake strikes off the coast of Japan, triggering tsunami warnings in the region. Stay safe everyone! #JapanEarthquake",1
23119,"BREAKING: Earthquake hits Nepal, leaving devastation and despair in its wake. Rescue teams mobilizing, prayers for all affected. #NepalEarthquake",1
