id,text,target,questionable_label,notes
269,http://t.co/FCqmKFfflW Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/vAyaYmbNgu,1,0,
2571,#INCIDENT Crash in Pascoe Vale South outbound on Tullamarine Fwy (CityLink) near Moreland Rd. Vehicles off in emergency lane. No delays.,1,0,
3104,#aerospace #exec Plane debris is from missing MH370 - Part of the aircraft wing found on Reunion Island is from th... http://t.co/S2wm8lh7oO,1,0,
3280,RT AbbsWinston: #Zionist #Terrorist demolish 18 #Palestinian structures in Jordan Valley http://t.co/rg3BndKXjX Û_ http://t.co/Bq90pfzMrP,1,0,
3340,@stallion150 @kbeastx they totally demolished genisys which was a beautiful film and almost 90% of the people agreed,1,1,referencing a film
3982,70 Years After Atomic Bombs Japan Still Struggles With War Past: The anniversary of the devastation wrought b... http://t.co/o6AA0nWLha,1,1,referencing historical event
4063,At least 180 dead a million displaced in India floods - India | ReliefWeb http://t.co/0abgFgLH7X,1,0,
4357,#Sismo ML 2.4  NEAR THE COAST OF WESTERN TURKEY: MagnitudeåÊåÊML 2.4RegionåÊåÊNEAR THE COAST OF WESTERN TURKEY... http://t.co/0wdAzLcM90 #CS,1,0,
4973,ITS A TIE DYE EXPLOSION ON IG HELP ME. IM DROWNING IN TIE DYE,1,1,drowning in tie dye
5034,How ÛÏLittle BoyÛ Affected the People In Hiroshima ÛÒ Eyewitness Testimonials http://t.co/mUAnfWcRW9,1,1,referencing historical event
5410,#NJTurnpike å_ #NJTurnpike Reopens Hours After Truck Fire In? http://t.co/oABJZtbVyZ http://t.co/GPBXRrDc07,1,0,
6849,@samanthaturne19 It was... Nagaski another act of mass murder sanctioned and forgiven cause the Allies won... Not by me.,1,2,other act ambiguous
7266,Fukushima Nuclear Disaster | Increased Thyroid Cancer in U.S. http://t.co/FtuNlH6ddg,1,2,repercussions of historical event
7280,Any disaster impairs mental health especially in vulnerable individuals... http://t.co/ZisuwLqRHf,1,0,
7935,Rainstorm Update: Further North or Further South? http://t.co/50vdQ7A1M5 http://t.co/QH6oXfT9Ir,1,0,
8045,Newlyweds feed thousands of Syrian refugees instead of hosting a banquet wedding dinner -  http://t.co/XZV0lT9ZZk via @smh,1,0,
9636,Severe Thunderstorm Warning including Russellville AR Clarksville AR Dardanelle AR until 10:15 PM CDT http://t.co/n844h1ASPj,1,0,
10382,Navy: No charges against officer for weapons violations in Chattanooga attack http://t.co/hddBMU2ycA,1,1,historical new event
10575,@blakeshelton DON'T be a FART ??in a WINDSTORM.FOLLOW ME ALREADY. JEEZ.,1,1,sarcasm
10751,CIA plot! *rolling eyes* RT @ajabrown: Chinese relatives of MH370 victims say reunion island wreckage was planted http://t.co/wmNb5ITa5P,1,1,referencing historical event
