id,text,target,questionable_label,notes
1645,@NBCNews Yea bombing #pearlharbor not so good of an idea!,1,2,ambiguous reference
2341,#Greece's tax revenues collapse as debt crisis continues via @guardian #bailout http://t.co/cJvbQXw83s ^mp,1,1,financial crisis ≠ natural disaster
2510,South Sac Florin Rd / Franklin Blvd **Trfc Collision-1141 Enrt** http://t.co/Es1b3lywAy,1,0,
2869,Storm damage reported in West Tennessee http://t.co/90L2lB5WMr,1,0,
2871,@Drothvader @CM_Nevalistis you can keep this please!!!!! Arachys [2 Pieces] - Now deals 4000% weapon damage (up from 2500%),1,2,ambiguous reference
3066,500 deaths a year from foodborne illness... @frackfreelancs dears... @DECCgovuk @frackfree_eu @tarleton_sophie http://t.co/JSccX8k0jA,1,2,ambiguous reference
3717,Flood: Two people dead 60 houses destroyed in Kaduna: Two people have been reportedly killed and 60 houses ut... http://t.co/BDsgF1CfaX,1,0,
4142,We happily support mydrought  a project bringing awareness to the LA drought. Track your waterÛ_ https://t.co/2ZvhX41I9v,1,1,promoting drought prevention
5223,@hrips_k when u do a fatality and like the corpse is still jittering,1,0,
5620,Flooding ???? http://t.co/WVeO9ED10e,1,0,
5658,Flooding kills 166 displace over one million in Pakistan http://t.co/iCFQl7I9oP  At least 166 people have been killed and nearly 11 lakhÛ_,1,0,
5683,@casewrites when it rains in NJ it flash floods. Otherwise its just a desert of grief and taxes.,1,1,when it rains - does not sound like it is happening now
6187,Governor allows parole for California school bus hijacker who kidnapped 26 children in 1976. http://t.co/hdAhLgrprl http://t.co/Z1s3T77P3L,1,2,not sure how this is a disaster
6201,Governor Allows Parole for School Bus Hijacker http://t.co/u4bdy1W7d4,1,2,not sure how this is a disaster
6335,2 hostages in Libya remain unharmed: Government sources on Wednesday denied reports that two Indian nationals whoÛ_ http://t.co/EX4FnJjL6H,1,0,
6402,hurricane?? sick!,1,0,
6758,NWS says thunderstorms with deadly lightning will move across the Black Hills this evening. That assumes there's a safe type. Hmm?,1,0,
7759,Now Trending in Nigeria: Police charge traditional ruler others with informantÛªs  murder http://t.co/93inFxzhX0,1,2,not sure how this is a disaster
9355,@TheSmallClark 'He'll kill me instead if he survived the shot. I don't exactly know. I fled the scene and pulled the trigger with---,1,0,
10451,Catastrophic wild fires threatening U.S. Mid west &amp; Republicans fighting new climate change rules I guess this is the ultimate in Darwinism,1,0,
