id,text,target,questionable_label,notes
318,@violentfeminazi I guess that's ok for Armenians since we've spent most of our history getting annihilated,1,2,ambiguous reference
1122,Did anyone else see that fireball falling to earth? Look like a plane blew up.,1,0,
1473,ÛÏ@MacDaddy_Leo: ?????? No Caption Needed ??. Freshman... http://t.co/k8ughv2aifÛmy nigga Stacey body bagging niggas! ????,1,0,
1650,Japan Marks 70th Anniversary of Hiroshima Atomic Bombing http://t.co/3EV07PPaPn,1,1,historical reference
1992,Bush Fires are scary....even scarier when you go down and fight them,1,0,
3141,ABC OnlineMH370: Aircraft debris found on La Reunion is from missing Malaysia Airlines ...ABC OnlineA piece of aircraft debris which ...,1,0,
4799,Entire town of Roosevelt Wash. evacuated because of wildfire http://t.co/CmwEIojJ55,1,0,
4860,Gas leak forces evacuation in east Saint John http://t.co/E1vkc2efsT #NB http://t.co/BeUa507Iug,1,0,
4924,Junko was 13 years old when the atomic bomb exploded over #Hiroshima on August 6 1945. http://t.co/lSpnyCVoLO http://t.co/Nh5pkFBfqm,1,1,historical reference
5757,Photo: blue by @forest.fires source: http://t.co/awXR24zsqh http://t.co/o9A26Fn27y,1,0,
6049,@creationsbykole cork city in Ireland...we got to 17 degrees today...that is a heat wave for us haha,1,1,sarcasm re weather
7253,Though serious #natural #disaster increased in #Japanjapan #Nuclear safety standard is far inferior to #US standard.#anonymous #Nytimes,1,2,disaster standards may or may not imply immediate disaster
7294,Chernobyl disaster - Wikipedia the free encyclopedia don't you just love the nuclear technology it's so glorious  https://t.co/GHucazjSxB,1,1,historical reference
7299,Global Nuclear Reactor Construction Market grew 4.5% between 2013 and 2014 http://t.co/74JppeK6o7,1,1,nuclear reactor construction increase ≠ disaster
7533,@News@ Refugio oil spill may have been costlier bigger than projected http://t.co/SqoA1Wv4Um,1,1,historical reference
7582,Legionnaires' Disease: What's Being Done to Stop Deadly Outbreak: The worst-ever outbreak of Legio... http://t.co/0ubG9wFyge #losangeles,1,0,
7670,Panic over: Patient in Alabama tests negative for Ebola http://t.co/cY0CiU2u1C,1,0,
8408,SANDSTORM!!! WOO HOO!!,1,0,
9212,INFOGRAPHIC: At least 20 Turkish security officials killed in PKK and ISIS terror attacks since Suruc suicide bombing http://t.co/UvAOJzcYcZ,1,0,
10163,Rather violent storm. Possibility of no stream tonight.,1,0,
