id,text,target,questionable_label,notes
17,Haha South Tampa is getting flooded hah- WAIT A SECOND I LIVE IN SOUTH TAMPA WHAT AM I GONNA DO WHAT AM I GONNA DO FVCK #flooding,1,0,
2019,Afghanistan: U.N. Reports 'Record-High Levels' of Civilian Casualties  In news from Afghanistan the United... http://t.co/YMcZyVKfmE,1,0,
2491,2 Cars Collide 1 Crashes Into Building: Two cars collided at an intersection and that sent one vehicle crashingÛ_ http://t.co/TpUu3eaTB3,1,0,
3212,#Glimpses: Hyderabad deluged by heavy rainfall | http://t.co/DctV1uJLHc http://t.co/QOx1jNQSAU,1,0,
3469,[UPDATE] No-Passenger Metro Train Derails Causing Terrible Delays This Morning: A derailed train is causing a hellÛ_ http://t.co/bLCBAbM7A1,1,0,
4212,via @dw_english Hundreds feared drowned as migrant boat capsizes off Libya http://t.co/Cubc0nq6Fd #UFO4UBlogEurope,1,0,
4768,Red Cross re-opens shelter at Bickleton School after 25 homes evacuated in &amp; around Roosevelt WA due to wildfire. #LiveOnK2,1,0,
4982,@colinhoffman29 I hope he does. And I hope you die in the explosion too,1,0,
5189,Estimated damage and fatalities of an Hiroshima-sized atomic bomb dropped on your hometown - http://t.co/BSrERJbY0I  #Hiroshima70,1,1,historical reference
5769,#HeartDisease U.S. Forest Service says spending more than half of budget on fires http://t.co/KzfiGkEeva,1,1,spending half of budget on first ≠ disaster
6405,Cape Coral city leaders take part in mock hurricane training http://t.co/gtYCQyFuam http://t.co/qwd5PvGjbO,1,1,mock hurricane training
7029,Asbury Park shooting reported http://t.co/dADZ5ZFO1g via @AsburyParkPress,1,0,
7285,Fukushima: The Story of a Nuclear Disaster http://t.co/ikpnGs3dTi http://t.co/lJHgSdRAEZ,1,1,historical reference
9164,Suicide bomber detonates in Saudi Arabia mosque 17 reportedly killed  http://t.co/xycKgxZv9s,1,0,
9177,Suicide Bomber Kills 13 At SaudiåÊMosque http://t.co/h99bHB29xt,1,0,
9247,British diver Neil Anthony Fears found dead by the wreck of a steamship - Daily Mail http://t.co/QP3GVvfoFq,1,0,
9466,DHS Refuses to Call Chattanooga Û÷Islamic TerrorismÛª out of respect for MUSLIMS ... http://t.co/u8RGB51d22 via @po_st http://t.co/2tnu95VGFE,1,0,
9488,Pakistan Supreme Court endorses military courts for terrorism cases http://t.co/sZeapuEuvy,1,1,how terrorist are tried ≠ disaster
10207,Violent video: Ukraine rioters brutally beat police storm local admin building WE'RE ALL FIGHTING BACK  http://t.co/Byj5Dfa2rv,1,0,
10620,Police Officer Wounded Suspect Dead After Exchanging Shots: Richmond police officer wounded suspect killed a... http://t.co/5uFTRXPpV0,1,0,
