id,text,target,questionable_label
44,The end!,0,2
436,Shot Through The Heart XV: You are going to totally give love a bad name with this heart pierc http://t.co/xpFmR368uF http://t.co/ejdHvLKXAf,0,2
799,I added a video to a @YouTube playlist http://t.co/wedWyn9kfS World Of Tanks - Battle Assistant Mod Bat Chat Arti kaboom,0,2
1017,@__srajapakse__ Why thank you there missy ?? thought it suited the blazing hot summertime ?? yee-haw! ??,0,2
1298,@Fantosex Now suck it up because that's all you're bloody getting out of me by means of amends.,0,2
1391,New Ladies Shoulder Tote Handbag Women Cross Body Bag Faux Leather Fashion Purse - Full reÛ_ http://t.co/3PCNtcZoxv http://t.co/n0AkjM1e4B,0,2
2255,@D33munni @JeanNamibian noooooooo ... *proceeds to fall off a cliff*,0,2
2888,New post on my blog: http://t.co/Avu9b4k2rv thesensualeye:  Model: Cam Damage  Toronto Apr 2014  #nsfw #pussy #ass #boobs #asian #nude #Û_,0,2
3285,Absurdly Ridiculous MenÛªs #Fashion To Demolish You #Manhood. http://t.co/vTP8i8QLEn,0,2
3603,Photoset: littlebitofbass: silinski: Ed Sheeran onåÊ'The Hobbit: The Desolation of Smaug' German premiere... http://t.co/iOsthxLcyv,0,2
3756,Russian authorities to take account of petition against destruction of sanctioned food: Vladimir Putin's press... http://t.co/QbMcSJaVt0,0,2
3834,IÛªve just signed up for the Detonate Nottingham Autumn Launch Party. Register here: http://t.co/Km8uCIHrRN,0,2
5539,@iamHorsefly hide your kids hide your wife. He's on the loose. I thought I flattened you with a ball ????,0,2
6597,I presume my timeline will be inundated with 'soggy bottom' &amp; lashings of 'moist' tweets now! :-D,0,2
8224,Transwomen and drag queens of color lead the riot a well known butch lesbian is usually credited for inciting it.,0,2
8226,'Without an ally near you can't use this skill.' How did you get hired? Really cause it's making every Riot staff member look incompetent.,0,2
8251,if that would of been a black dude Antioch would be rioting,0,2
8907,Mini Lalaloopsy Dolls Seed Sunburst June Seashore Sweater Snowstorm Autumn Spice - Full reÛ_ http://t.co/nyty7fCQo6 http://t.co/hyypsPN0yQ,0,2
9788,Hollywood Movie About Trapped Miners Released in Chile: 'The 33' Hollywood movie about trapped miners starring... http://t.co/x8moYeVjsJ,0,2
10535,For sixth year in a row premium costs for windstorm insurance to climb. This time by 5 percent. #GalvNews  https://t.co/Cm9TvE2Vsq,0,2
