id,text,target,questionable_label
243,airplane crashes on house in Colombia 12 people die in accident https://t.co/ZhJlfLBHZL,1,2
731,Christian Attacked by Muslims at the Temple Mount after Waving Israeli Flag via Pamela Geller - ... http://t.co/T1aa5Ov7Eg,1,2
940,Love living on my own. I can blaze inside my apt or on the balcony,1,2
2377,Another entity forced to close in Montego Bay as a result of the collapsed sewer line #TVJNews,1,2
2649,Heard #SKH on the radio for the first time. Almost crashed the car. @5SOS @Ashton5SOS @Luke5SOS @Michael5SOS @Calum5SOS,1,2
3826,@channelstv:That's why terrorism is not d war for d army but for Intel agents who can counter their moves before they detonate their bombs.,1,2
3960,70 Years After Atomic Bombs Japan Still Struggles With War Past: The anniversary of the devastation wrought b... http://t.co/aG65u29SGo,1,2
4597,@chrisroth98 @chaselabsports in an emergency situation late in the year. Not as a plan in camp,1,2
4988,EE recalls Power Bar battery packs after explosion in student's bedroom http://t.co/EKWTiHlwuf,1,2
5343,Nothing like a good fire https://t.co/ItFbBz9xYC,1,2
5631,When the waves are flooding the shore And I can't find my way home anymore That's when I look at you http://t.co/TDAKtGlU5p,1,2
5711,E1.1.2 Particulate=Break up of Solid Combust Fossil Fuel Voltaic Active Forest Fire Biological VOC=Petroleum CH4 Bacteria Decomposition,1,2
6033,DLH issues Hazardous Weather Outlook (HWO)  http://t.co/a0Ad8z5Vsr #WX,1,2
6312,The horrific story of being a hostage - The horrific story of being a hostage It's 1974 and on a British... http://t.co/XcQ48OuRvL,1,2
6864,@tuicruises @aida_de Cruise Industry Supports Mass Murder of Whales in #Faroe Islands!! 'Everything the (cont) http://t.co/3a3FGZFmzh,1,2
7929,major rainstorm happening! I'm gonna lie down and drift away to the storming around me for a little while. bebacksoon.,1,2
8049,recap/ 12000 Nigerian refugees repatriated from Cameroon http://t.co/po19h8YCND,1,2
9301,So much shit has happened today wtf idk how I survive thruuu it all,1,2
9343,Update: I survived. No canoe.  May have been the fastest feed out in history though.,1,2
10768,Wreckage is MH370: Najib http://t.co/iidKC0jSBx #MH370 #najibrazak #MalaysiaAirlines,1,2
