id,text,target,questionable_label
231,Horrible Accident Man Died In Wings Of ÛÏAirplaneÛ 29-07-2015. WTF You CanÛªt Believe Your EYES ÛÒ... http://t.co/6fFyLAjWpS,1,2
657,Horrific attack on wife by muslim in Italy http://t.co/nY3l1oRZQb LiveLeak #News,1,2
1633,The cryptic words that guided pilots on the Hiroshima bombing mission http://t.co/FCe0K1Ihti,1,2
1759,Sinking ships burning buildings &amp; Falling objects are what reminds me of the old us.,1,2
4350,Contruction upgrading ferries to earthquake standards in Vashon Mukilteo - Q13 FOX http://t.co/E981DgSkab #EarthquakeNews,1,2
4351,#3Novices : Renison mine sees seismic event http://t.co/2i4EOGGO5j A small earthquake at Tasmania's Renison tin project has created a temÛ_,1,2
4755,Tonight is being quite interesting... A few minutes ago the fire system went off and we had to evacuate the building.,1,2
4779,5 dead 3 missing 103 families evacuated due to floods in Bukidnon: ... http://t.co/z0hSckvySN,1,2
5819,@HeyItsEpark heavy rain and hail,1,2
6000,#dam #gms Olap #world pres: http://t.co/mIcjNPuhG0 How To Recognize A Hazardous Waste And The Multidimensional http://t.co/Vddi5ChKTP,1,2
6337,#hot  C-130 specially modified to land in a stadium and rescue hostages in Iran in 1980 http://t.co/6ioaBSl6I7 #prebreak #best,1,2
6638,Potential Storm Surge Flooding Map by National Hurricane Center http://t.co/JZWRWlVlSj http://t.co/oT3bjjhH8s,1,2
6669,FreeBesieged: .MartinMJ22 YouGov Which '#Tory landslide' ... you can't POSSIBLY mean the wafer-thin majority of #GÛ_ http://t.co/2q3fuEReY5,1,2
7918,'Three #people were #killed when a severe #rainstorm in the #Italian #Alps caused a #landslide' http://t.co/hAXJ6Go2ac,1,2
7970,http://t.co/iXiYBAp8Qa The Latest: More homes razed by Northern California wildfire - Lynchburg News and Advance http://t.co/zEpzQYDby4,1,2
8615,#Sismo DETECTADO #JapÌ_n [Report 1] 01:01:56 Okinawa Island region M4.0 Depth 10km Maximum seismic intensity 3 JST #??,1,2
8979,NASAHurricane? EASTERN PACIFIC *Full Update* Satellite Sees Formation of Eastern Pacific's Tropical Storm Hilda ThÛ_ http://t.co/KsXTo8NKNl,1,2
9029,Keep shape your shoes ??#Amazon #foot #adjust #shape #shoe Mini Shoe Tree Stretcher Shaper Width Extender Adjustable http://t.co/8cPcz2xoHb,1,2
10410,Whirlwind Medusa Audio Snake: 16 microphone inputs 0 returns 150 ft http://t.co/mxkAlMQpdb http://t.co/8KZnhtYtt9,1,2
10750,Wreckage 'Conclusively Confirmed' as From MH370: Malaysia PM: Investigators and the families of those who were... http://t.co/pTeVY815mt,1,2
