id,text,target,questionable_label,notes
7,Just got sent this photo from Ruby #Alaska as smoke from #wildfires pours into a school ,1,0,
857,FedEx no longer will ship potential bioterror pathogens - FedEx Corp. (NYSE: FDX) will no longer deliver packages ... http://t.co/2kdq56xTWs,1,1,change in FedEx policy ≠ disaster
1989,Californian Bush Fires 2015 http://t.co/rjdX29wosp,1,0,
2466,Monsoon flooding - Monsoon rains have have hit India Pakistan and Myanmar hard this season. Two trains collided ... http://t.co/A7zF6N7vrL,1,0,
2502,Can't watch PVRIS I'm so sad bc it collided with another set,1,1,schedule conflict ≠ disaster
3468,@Epic_Insanity It got derailed outside Grimrail Depot...,1,0,
3911,ÛÏRichmond Coaches were devastated to hear of the death of their second driver Mr Chance who was sittingÛ_: Jam... http://t.co/sHKiMonMlw,1,0,
4080,Angry Woman Openly Accuses NEMA Of Stealing Relief Materials Meant For IDPs: An angry Internally Displaced wom... http://t.co/TEq7SrI57P,1,0,
4739,The U.S. also flew over each bomb site in World War II with warning letters telling people to evacuate,1,1,historical reference
4791,78 passengers evacuated safely after Green Line train derails. http://t.co/KzBSOhtwB4,1,0,
7223,This is the natural and unavoidable consequence of socialism everywhere it has been tried. http://t.co/BbDpnj8XSx A,1,0,
7286,The president spoke of Kennedy's diplomacy to avert nuclear disaster during the Cold War to bolster his own pitch for Congress' approval,1,2,historical reference without context
7291,#Nuclear policy of #Japan without responsibility about Nuclear #Disaster will repeat same #failure. #annonymous #guardian #NYTimes #Reuters,1,2,historical reference without context
8141,Rescued Med migrants arrive in Sicily http://t.co/p4dOA5YYJe,1,0,
8262,#BHRAMABULL Watch Run The Jewels Use Facts to Defend Rioting in Ferguson: The socially minded duo takes on the... http://t.co/Ld5P1sIa2N,1,1,historical reference
8704,4 equipment ego break upon dig your family internet hoke excepting versus a sinking term: dfLJEV,1,2,huh?
9233,Imagine a school where suicide bombing Is being taught the teachers would say to the students...  'Please pay... http://t.co/zfiVVxYDZY,1,0,
9729,@TOIIndiaNews ofcourse  Just 8 minute b4 tragedy another train had crossed this place  N a flash flood caued washing of tracks..,1,0,
10612,Police Officer Wounded Suspect Dead After Exchanging Shots - http://t.co/iPHaZV47g7,1,0,
10744,Wreckage 'Conclusively Confirmed' as From MH370: Malaysia PM: Investigators and the families of those who were... http://t.co/v5Ogr3F5N9,1,0,
