id,text,target,questionable_label,notes
13,I'm on top of the hill and I can see a fire in the woods...,1,0,
1973,@marcoarment Middle of winter in Sydney we have had snow bush fires and 78 degree days in the last week.  Keeps you on your toes for sure.,1,2,have had ≠ disaster now
2015,Afghan conflict sees 'sharp rise' in female casualties http://t.co/4hcYwRWN6L http://t.co/2TwXZ6vxbx,1,0,
2144,#nar #phuket Ultimate #preparedness library: http://t.co/qYAeNDvDGC Prepare Yourself For Any Catastrophe. Over http://t.co/3Zp6Ahnsxn,1,2,preparedness ≠ disaster now
2174,The Catastrophic Effects of Hiroshima and Nagasaki Atomic Bombings Still Being Felt Today http://t.co/WC8AqXeDF7,1,1,historical reference
3518,Madhya Pradesh Train Derailment: Village Youth Saved Many Lives: A group of villagers saved over 70 passengers' lives after two train...,1,0,
3664,@Beyonce @NicoleKidman @Oprah these money grubbing kikes need to get a clueI have no money but I can still destroy with telekinesis. Watch.,1,1,emotional venting
5136,Deputies: Dog dispute leads to fatal shooting in Person County http://t.co/OazgHoZGYa #gunfail #nra,1,0,
5689,PAGASA 7:12am: YELLOW warning - Panay Island Guimaras Negros. Possible floods in low-lying areas &amp; landslides in mountainous areas.,1,0,
5845,@AdriaSimon_: Hailstorm day 2.... #round2 #yyc #yycstorm http://t.co/FqQI8GVLQ4,1,0,
5863,Sadly the tent fly did not survive this hailstorm and now I have tears in the roof and water in the tent.  Only... http://t.co/zCt5cchOJ0,1,0,
6438,UPDATE:M.E. confirms 2 women pulled from burning house died last Friday. 91 yr old Edna Jefferson&amp;Doris Sherfield72. http://t.co/L6nSLzl7mI,1,0,
6855,@samanthaturne19 IIt may logically have been the right call... maybe... But it's an act of mass murder and I can't sanction it.,1,0,
8028,y'all read 12000 Nigerian refugees repatriated from Cameroon http://t.co/aVwE1LBvhn,1,0,
8913,@dirk_trossen  I've still got some of the snowstorm/hailstorm!,1,0,
9315,I Will Survive by Gloria Gaynor (with Oktaviana Devi) ÛÓ https://t.co/HUkJZ1wT36,1,2,ambiguous if referring to a disaster or not
10307,@abcnews A nuclear bomb is a terrible weapon!!,1,1,it is but this is not referencing a disaster
10332,Lol Look how tough some people talk that live in some of the most gang infested cities in America Your mouth isn't a weapon You fucking wimp,1,1,verbal combat is not a disaster
10349,Hiroshima and Nagasaki I remember all those killed in alleged US war crimes using nuclear weapons https://t.co/NDxrK2NCLN #USWarCrimes,1,1,historical reference
10470,@aria_ahrary @TheTawniest The out of control wild fires in California even in the Northern part of the state. Very troubling.,1,0,
