id,text,target,questionable_label
82,They sky was ablaze tonight in Los Angeles. I'm expecting IG and FB to be filled with sunset shots if I know my peeps!!,0,2
457,@ENews Ben Affleck......I know there's a wife/kids and other girls but I can't help it. I've loved him since Armageddon #eonlinechat,0,2
884,Firepower in the lab [electronic resource] : automation in the fight against infectious diseases and bioterrorism /Û_ http://t.co/KvpbybglSR,0,2
3085,@gregorysanders @USDOT &amp; the stat of high auto deaths applies to children in a vehicle. I guess they can out run lightrail better than adult,0,2
3721,Russian customs destroyed a total of 319 tons of food today phew! Some Italian meats were burned in an incinerator in Pulkovo airport.,0,2
3975,The devastation when you smash your phone ??????????????????????????,0,2
4028,@Hollyorange8 my day has been a disaster of emotions,0,2
4993,New Explosion-proof Tempered Glass Screen Protector Film for Blackberry Z10 - Full read byÛ_ http://t.co/SD7lOww9nu http://t.co/7hKavTVx81,0,2
5180,I wonder how Cool/Weird It'll look to have all the characters in MKX do fatalities on Skinless Predator ;),0,2
5587,1 pair new 27w 4''  ROUND LED Work Driving FLOOD Light Off-road ATV UTV - Full read by eBay http://t.co/d3P88xdLEc http://t.co/j2DDvh7fY0,0,2
6738,let's play the floor is lava but instead of just the floor let's play with the whole world and never get out of bed http://t.co/aKQ4RwjFVL,0,2
6821,@SW_Trains strange loud impact bang noises under train to Epsom about to arrive #Wimbledon,0,2
7442,&amp; on the rare occasion I do go out I'm complete obliterated the next day. Throwing up and passing out. My body is accustomed to alcohol,0,2
7641,Photo: deadgirltalking: unfortunemelody: jaylenejoybeligan: tarynel: dredougie: santanico-pandemonium:... http://t.co/PvKgo79JnI,0,2
9244,literally just sunk in we got backty school in exactly a week :S :S :s,0,2
9705,@Toocodtodd Hey @wyattb23 let's challenge then to a tornado tag tlc match. Winner take all.,0,2
10306,I... I might buy my esoteric weapon for astrologian...,0,2
10338,The thing with rules is break it once it becomes easier the next time. http://t.co/hGb1mc3IRk  https://t.co/6ysXGhc8gz,0,2
10558,@chriscesq The average GOP voter would go to a big-tent circus in a hailstorm/windstorm no? :-),0,2
10700,Ranking #artectura #pop2015 #Nå¼36 Florence + The Machine - Ship To Wreck https://t.co/9LE0B19lVF  #music #playlist #YouTube,0,2
