id,text,target,questionable_label
34,What a wonderful day!,0,2
755,A little piece I wrote for the Avalanche Designs blog! I'd appreciate it greatly if you checked it out :-)  https://t.co/rfvjh58eF2,0,2
1073,my ears are bleeding i hate stefano,0,2
1455,Gates not body bagging nobody???????? niggas in br really know who he is ????,0,2
2099,Casualty insurance jobs against hunt up willinghearted into: RPN http://t.co/pByA7Uv3V5,0,2
2133,#Denver CO #Insurance #Job: Claims Property Field Adjuster Catastrophe Safeco ÛÒ USA at Liberty Mutual Insurance http://t.co/3k42MJVqCA,0,2
2254,'Go too Ibiza Pop ah Pill Get DRUNK &amp; Fall off a Cliff'. (Real Talk) @DannyJohnJules @Spencer_Fearon @ChristieLinford,0,2
2587,??One night and we're gonna come and crash the party Weren't invited but we're feelin' soÛ_ https://t.co/9hKXxBB82O,0,2
2778,ball has no curfew https://t.co/SG1FTKaEgq,0,2
4677,When Your Cake Is Engulfed In Flames #LiteraryCakes,0,2
5255,I liked a @YouTube video from @deathmule http://t.co/sxHGFIThJw MK X Tremors Stalag Might Fatality on Ermac Tournament Pharaoh,0,2
5432,Juneau Empire - First responders turn out for National Night Out http://t.co/94UYT4ojYK,0,2
5548,Mum's literally just picked up her new car today and flattened the battery already trying to sort out the Bluetooth ???? #Muppet,0,2
6272,#hot  Funtenna: hijacking computers to send data as sound waves [Black Hat 2015] http://t.co/G62txymzBv #prebreak #best,0,2
6422,Entertain this thought for a moment:  diarrhea hurricane,0,2
6611,Listening to my grandad talk about his holiday is great but I don't want to be inundated with train photos ????,0,2
7359,@JoseBasedGod I'm obliterate you to the shadow realm.,0,2
7477,I added a video to a @YouTube playlist http://t.co/1vjAlJA1SX GTA 5 Funny Moments - 'OBLITERATION!' (GTA 5 Online Funny Moments),0,2
8451,She screamed when she got the microchip needle. Tbh I would have cried too the needle was massive ya haram,0,2
10027,Reasons brain twister oneself should discount redesigning yours website: ItrAWcWB,0,2
